 Name, Location, Missing 
"Cramer, Johnson, Wiggins & Associates (CJW & Associates)","Orlando, Florida, United States","investor_type","investment_stage","number_of_employees","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status",
".decimal, Inc.","Sanford, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status",
"(ISC)2 - Tampa Bay Chapter","Tampa, Florida, United States","investor_type","investment_stage","number_of_employees","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status",
"@TravelDeals","Fort Lauderdale, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status",
"0Lat","Orlando, Florida, United States","investor_type","investment_stage","number_of_employees","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status",
"0NL9","Miami, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status",
"1.618 Technology","Naples, Florida, United States","investor_type","investment_stage","funding_status","last_funding_amount","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status",
"110% Play Harder.","Jacksonville Beach, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status",
"1111 Industries","Largo, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status",
"123 Employee Co","Hollywood, Florida, United States","investor_type","investment_stage","number_of_employees","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status",
