 Name, Location, Missing 
"Cramer, Johnson, Wiggins & Associates (CJW & Associates)","Orlando, Florida, United States","investor_type","investment_stage","number_of_employees","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
".decimal, Inc.","Sanford, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"(ISC)2 - Tampa Bay Chapter","Tampa, Florida, United States","investor_type","investment_stage","number_of_employees","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"@TravelDeals","Fort Lauderdale, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"0Lat","Orlando, Florida, United States","investor_type","investment_stage","number_of_employees","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"0NL9","Miami, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"1.618 Technology","Naples, Florida, United States","investor_type","investment_stage","funding_status","last_funding_amount","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"110% Play Harder.","Jacksonville Beach, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"1111 Industries","Largo, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"123 Employee Co","Hollywood, Florida, United States","investor_type","investment_stage","number_of_employees","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"123 FRUTTY","Orlando, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"123Deals.com","Kenansville, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"123GOink.com","Lady Lake, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"123lumpsum","Fort Lauderdale, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"12th Avenue Graphics","Miami, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"13 Guys Named Ed","Safety Harbor, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"1308 Productions","Miami, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"1347 Property Insurance Holdings","Tampa, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"169 ST.","Lake Mary, Florida, United States","investor_type","investment_stage","number_of_employees","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"1800 notify","Miami, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"1800 PetMeds","Pompano Beach, Florida, United States","investor_type","investment_stage","number_of_lead_investors","acquisition_status"
"1CLick3dPrint","Miami, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"1Sale formerly 1SaleADay","Miami Lakes, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"1st BridgeHouse","Miami, Florida, United States","investor_type","investment_stage","number_of_employees","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"1st Merchant Funding","Miami, Florida, United States","investor_type","investment_stage","funding_status","number_of_lead_investors","acquisition_status"
"1stpagelocal","Florida, United States, North America","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"20th Century Records","Crawfordville, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"21st Century Care Providers","Bradenton, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"21st Century Oncology","Fort Myers, Florida, United States","investor_type","investment_stage","acquisition_status"
"22 Days Nutrition","Miami, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"24 Hour Pro Muscle Gym","Rockledge, Florida, United States","investor_type","investment_stage","funding_status","last_funding_amount","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"249Labs Inc","Tampa, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"2nd Century","Tampa, Florida, United States","investor_type","investment_stage","number_of_employees","funding_status","number_of_lead_investors","acquisition_status"
"3 IQs","Orlando, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
"3 LIttle Birds Interactive LLC","Wauchula, Florida, United States","investor_type","investment_stage","number_of_funding_rounds","funding_status","last_funding_date","last_funding_amount","last_funding_type","total_funding_amount","number_of_lead_investors","number_of_investors","acquisition_status"
